"Valuuta";"Klient müüb";"Klient ostab";"Euroopa Keskpanga kurss";
"USD";"1,1912";"1,1501";"1,1712";
"NOK";"11,149";"10,75";"10,9525";
"SEK";"11,025";"10,642";"10,82";
"GBP";"0,8835";"0,8511";"0,86803";
"PLN";"4,3544";"4,1267";"4,2403";
"DKK";"7,6038";"7,342";"7,473";
"AED";"4,4294";"4,1705";"";
"AUD";"1,677";"1,6044";"1,6393";
"CAD";"1,6384";"1,5674";"1,6023";
"CHF";"0,9395";"0,9025";"0,9199";
"CZK";"25,037";"23,732";"24,373";
"HKD";"9,7685";"8,5752";"9,1763";
"HUF";"376,25";"354,15";"365,5";
"JPY";"193,4";"180,28";"186,71";
"RON";"5,2711";"4,9132";"5,0915";
"SGD";"1,5327";"1,4575";"1,4949";
"TRY";"55,93";"49,573";"52,731";
"ZAR";"20,378";"18,424";"19,3974";